Title,Company,Location,Date,Description,URL
"DevOps Engineer","Amazon","Chennai","5 days ago","AWS DevOps Engineer role","https://example.com/job54"
"Mobile App Developer","Paytm","Noida","3 days ago","Android, Kotlin, Jetpack Compose","https://example.com/job55"
"Mobile App Developer","Flipkart","Bangalore","2 days ago","React Native, iOS/Android apps","https://example.com/job56"
"Mobile App Developer","Swiggy","Hyderabad","5 days ago","Flutter, Firebase, APIs","https://example.com/job57"
"Mobile App Developer","Zomato","Delhi","6 days ago","iOS Swift, CoreData, UX design","https://example.com/job58"
"UI/UX Designer","Adobe","Bangalore","2 days ago","Figma, Adobe XD, user research","https://example.com/job59"
"UI/UX Designer","Zoho","Chennai","3 days ago","Prototyping, UI improvements, design systems","https://example.com/job60"
"UI/UX Designer","Microsoft","Hyderabad","5 days ago","Wireframes, usability testing","https://example.com/job61"
"UI/UX Designer","Freshworks","Pune","6 days ago","UX audits, interaction design","https://example.com/job62"
"Project Manager","TCS","Bangalore","1 week ago","Agile, Scrum Master, stakeholder management","https://example.com/job63"
"Project Manager","Infosys","Chennai","2 weeks ago","Waterfall + Agile, project planning","https://example.com/job64"
"Project Manager","Wipro","Hyderabad","3 days ago","Risk management, project delivery","https://example.com/job65"
"Project Manager","Accenture","Delhi","4 days ago","Client-facing, agile frameworks","https://example.com/job66"
"Database Administrator","Oracle","Hyderabad","2 days ago","SQL, PL/SQL, Database tuning","https://example.com/job67"
"Database Administrator","IBM","Pune","4 days ago","DB2, SQL Server, backups","https://example.com/job68"
"Database Administrator","HCL","Noida","5 days ago","Oracle DB, PostgreSQL, replication","https://example.com/job69"
"Database Administrator","Microsoft","Bangalore","1 week ago","SQL Azure, Cloud DBs","https://example.com/job70"
"Blockchain Developer","Polygon","Bangalore","3 days ago","Solidity, Ethereum, smart contracts","https://example.com/job71"
"Blockchain Developer","WazirX","Hyderabad","2 days ago","Web3, dApps, Solidity","https://example.com/job72"
"Blockchain Developer","CoinDCX","Mumbai","5 days ago","Crypto apps, smart contracts","https://example.com/job73"
"Blockchain Developer","Accenture","Pune","1 week ago","Enterprise blockchain, Hyperledger","https://example.com/job74"
